osm_id,nama,daerah,kecamatan,alamat,jam_buka,jam_tutup,harga_min,harga_max,rating,deskripsi,kecamatan_id,latitude,longitude,photo_url,is_verified,is_active
node/1000000,"The Rooster Coffee Company",Sidoarjo,Sidoarjo,"Jl. Yos Sudarso No. 22",10:00:00,23:00:00,10000,40000,4.7,"Nikmati kopi premium dan suasana santai di The Rooster Coffee Company, Sidoarjo, Sidoarjo. Tempat terbaik untuk bersantai atau bekerja.",1,-7.45254,112.71634,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500&q=80,1,1
node/1000001,"EMIKO Coffee Bar",Sidoarjo,Sidoarjo,"Jl. Raya Sidoarjo No. 84",09:00:00,22:00:00,20000,40000,4.6,"Nikmati kopi premium dan suasana santai di EMIKO Coffee Bar, Sidoarjo, Sidoarjo. Tempat terbaik untuk bersantai atau bekerja.",1,-7.45292,112.718,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500&q=80,1,1
node/1000002,"Pagi Pagi Coffee",Sidoarjo,Sidoarjo,"Jl. Jenderal Sudirman No. 123",09:00:00,22:00:00,18000,43000,4.6,"Nikmati kopi premium dan suasana santai di Pagi Pagi Coffee, Sidoarjo, Sidoarjo. Tempat terbaik untuk bersantai atau bekerja.",1,-7.45424,112.71682,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500&q=80,1,1
node/1000003,"Toko Kopi Harlem",Sidoarjo,Sidoarjo,"Jl. Pahlawan No. 90",09:00:00,22:00:00,20000,50000,4.5,"Nikmati kopi premium dan suasana santai di Toko Kopi Harlem, Sidoarjo, Sidoarjo. Tempat terbaik untuk bersantai atau bekerja.",1,-7.45096,112.71688,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500&q=80,0,1
node/1000004,"Koat Coffee Sidoarjo",Sidoarjo,Sidoarjo,"Jl. Kartini No. 98",09:00:00,22:00:00,20000,35000,4.6,"Nikmati kopi premium dan suasana santai di Koat Coffee Sidoarjo, Sidoarjo, Sidoarjo. Tempat terbaik untuk bersantai atau bekerja.",1,-7.45134,112.71784,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500&q=80,0,1
node/1000005,"Kopi Kenangan Pahlawan",Sidoarjo,Sidoarjo,"Jl. Gajah Mada No. 91",10:00:00,23:00:00,20000,40000,4.3,"Nikmati kopi premium dan suasana santai di Kopi Kenangan Pahlawan, Sidoarjo, Sidoarjo. Tempat terbaik untuk bersantai atau bekerja.",1,-7.45086,112.71486,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500&q=80,0,1
node/1000006,"Latar Ombo Coffee",Sidoarjo,Sidoarjo,"Jl. Ahmad Yani No. 51",09:00:00,22:00:00,20000,40000,4.6,"Nikmati kopi premium dan suasana santai di Latar Ombo Coffee, Sidoarjo, Sidoarjo. Tempat terbaik untuk bersantai atau bekerja.",1,-7.45328,112.71712,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500&q=80,1,1
node/1000007,"Janji Jiwa Gajah Mada",Sidoarjo,Sidoarjo,"Jl. KH. Wahid Hasyim No. 27",09:00:00,22:00:00,20000,40000,4.8,"Nikmati kopi premium dan suasana santai di Janji Jiwa Gajah Mada, Sidoarjo, Sidoarjo. Tempat terbaik untuk bersantai atau bekerja.",1,-7.4525,112.7145,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500&q=80,1,1
node/1000008,"Ame Coffee Sidoarjo",Sidoarjo,Sidoarjo,"Jl. Untung Suropati No. 22",09:00:00,22:00:00,20000,45000,4.5,"Nikmati kopi premium dan suasana santai di Ame Coffee Sidoarjo, Sidoarjo, Sidoarjo. Tempat terbaik untuk bersantai atau bekerja.",1,-7.45422,112.71418,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500&q=80,0,1
node/1000009,"Starbucks Sidoarjo",Sidoarjo,Sidoarjo,"Jl. Raden Patah No. 112",00:00:00,23:59:00,18000,33000,4.6,"Nikmati kopi premium dan suasana santai di Starbucks Sidoarjo, Sidoarjo, Sidoarjo. Tempat terbaik untuk bersantai atau bekerja.",1,-7.4517,112.71594,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500&q=80,0,1
node/1000010,"Istoria Cafe",Sidoarjo,Buduran,"Jl. Yos Sudarso No. 74",10:00:00,23:00:00,12000,42000,4.6,"Nikmati kopi premium dan suasana santai di Istoria Cafe, Buduran, Sidoarjo. Tempat terbaik untuk bersantai atau bekerja.",2,-7.42856,112.71814,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500&q=80,1,1
node/1000011,"Makmu Sidoarjo",Sidoarjo,Buduran,"Jl. Raya Buduran No. 75",09:00:00,22:00:00,15000,35000,4.9,"Nikmati kopi premium dan suasana santai di Makmu Sidoarjo, Buduran, Sidoarjo. Tempat terbaik untuk bersantai atau bekerja.",2,-7.42808,112.71822,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=500&q=80,1,1
